code;listOfProducts;observations;client;date
0093-0058;Bread - Rolls, Corn;fresh-thinking;Gina Mendez;6/30/2020
60505-2547;Sprouts - Baby Pea Tendrils;neutral;Marylynne Weston;12/2/2020
43598-410;Chicken - Base;Proactive;Veronique Yanson;3/22/2021
0093-3011;Chambord Royal;Organized;Judie Bank;10/10/2020
48951-8252;Wine - Malbec Trapiche Reserve;open system;Xymenes McCourt;8/24/2020
61748-201;Melon - Honey Dew;middleware;Renelle Carrane;10/8/2020
50227-1020;Scrubbie - Scotchbrite Hand Pad;focus group;Daryl Cobley;7/3/2020
68788-9751;Mustard - Individual Pkg;architecture;Joyann Perrone;9/28/2020
55154-6995;Bread - Sticks, Thin, Plain;orchestration;Clementina Filde;2/7/2021
63539-012;Beef - Cooked, Corned;Right-sized;Arel Vassel;4/28/2020
0268-6317;Sauce - White, Mix;Persistent;Eadith Drynan;10/4/2020
57520-0836;Chinese Foods - Chicken Wing;Grass-roots;Kennett Jumel;5/4/2020
61016-0002;Coffee - Dark Roast;Enterprise-wide;Linea Rabson;7/27/2020
48951-7037;Pasta - Orzo, Dry;system engine;Stevana Daud;10/10/2020
54868-5166;Soup - Campbells - Tomato;monitoring;Homer Clemenson;10/7/2020
52125-418;Pepper - Scotch Bonnet;projection;Leroy Raith;9/26/2020
49348-355;Cheese - Camembert;3rd generation;Reece Ions;8/30/2020
52244-030;Soup - Campbells, Lentil;solution-oriented;Deni Fownes;4/28/2020
0378-3701;Wine - Magnotta - Cab Sauv;Secured;Irina Desborough;3/23/2021
13537-023;Chicken - Diced, Cooked;systematic;Kellina Furmonger;5/22/2020
54868-2989;Wine - Red, Pelee Island Merlot;impactful;Silvia Massingham;6/27/2020
51293-605;Crab - Dungeness, Whole, live;exuding;Lindsey Djurisic;6/1/2020
53346-1355;Rum - Mount Gay Eclipes;frame;Ema Kinsell;7/31/2020
60429-298;Mousse - Mango;didactic;Tiertza Rendell;2/26/2021
17478-605;Sugar - Splenda Sweetener;encompassing;Min Cudbertson;10/22/2020
57557-100;Rum - Cream, Amarula;internet solution;Corey Bauchop;5/23/2020
0372-0043;Lentils - Green, Dry;Distributed;Nikki Stitfall;6/13/2020
63323-237;Jam - Marmalade, Orange;Distributed;Schuyler Gallandre;4/18/2020
55648-735;Tea - Grapefruit Green Tea;well-modulated;Cybill Piola;8/29/2020
51672-2013;Cheese - Brie,danish;structure;Boyce Perrins;9/9/2020
36987-1156;Appetizer - Asian Shrimp Roll;hardware;Fitz Dentith;2/13/2021
62721-8127;Wine - Rosso Toscano Igt;leverage;Pernell Valentelli;12/13/2020
0603-3581;Oil - Macadamia;3rd generation;Marijo O'Halleghane;4/27/2020
54868-4575;Pastry - Baked Scones - Mini;Cloned;Isiahi O'Sherrin;11/13/2020
11701-025;Cucumber - English;mission-critical;Natividad McAnellye;9/7/2020
70253-081;Chicken - Leg, Boneless;application;Filbert Fritz;8/12/2020
49794-009;Tobasco Sauce;Exclusive;Lanni Colcomb;6/3/2020
54868-5002;Soup Knorr Chili With Beans;Persevering;Rozele Chadderton;11/23/2020
54569-5945;Beef Striploin Aaa;algorithm;Elsy Eastabrook;2/6/2021
36987-2975;Mustard - Individual Pkg;background;Lloyd Bartalucci;2/26/2021
68180-445;Coffee - Almond Amaretto;optimizing;Heath Corbin;4/22/2020
17478-205;Mince Meat - Filling;complexity;Pascal Dictus;10/8/2020
56131-774;Pike - Frozen Fillet;system engine;Brooke Griffith;11/30/2020
49288-0432;Juice - Ocean Spray Cranberry;open system;Gary Inger;1/24/2021
55714-4566;Club Soda - Schweppes, 355 Ml;function;Benyamin Eldon;4/19/2020
36800-189;Scotch - Queen Anne;orchestration;Dex Kuhnwald;4/17/2020
53208-515;Flour - Teff;Organized;Derk Cray;1/9/2021
55154-2726;Wine - Shiraz South Eastern;composite;Bernete Vizor;2/18/2021
36987-3021;Coke - Diet, 355 Ml;focus group;Gert Biggs;9/22/2020
49349-368;Currants;Visionary;Kellina Gaynor;3/1/2021
49288-0028;Beets - Mini Golden;modular;Berny Petz;1/3/2021
76323-002;Wine - Lamancha Do Crianza;extranet;Chrissie Brookes;8/19/2020
51824-026;Plasticspoonblack;algorithm;Berty Jossel;5/26/2020
0781-5726;Fruit Mix - Light;Stand-alone;Brnaba Vasey;12/21/2020
0135-0199;Beans - Navy, Dry;implementation;Stanislas Edser;1/1/2021
63824-282;Bread - Corn Muffaleta Onion;leading edge;Denyse Neal;2/19/2021
55513-546;Soup - Campbells - Tomato;discrete;Shawna MacCrachen;1/25/2021
55714-2343;Flower - Daisies;website;Ozzie Sivyer;9/21/2020
37012-213;Extract - Vanilla,artificial;concept;Jedidiah Donaldson;5/20/2020
52533-001;Parsnip;3rd generation;Orsa Eirwin;12/6/2020
60505-7001;Trout Rainbow Whole;holistic;Jehu Everingham;4/9/2020
49288-0351;Bar - Sweet And Salty Chocolate;web-enabled;Kinna Boots;3/3/2021
68084-615;Papayas;task-force;Mia Baskerfield;4/2/2020
68151-1977;Lid - Translucent, 3.5 And 6 Oz;directional;Wilone Padwick;12/19/2020
49158-501;Rabbit - Saddles;Visionary;Napoleon Felstead;1/7/2021
52125-261;Kellogs Special K Cereal;product;Becka McKenzie;6/11/2020
54868-3113;Juice - Propel Sport;responsive;Ricca Smallpiece;7/15/2020
55312-517;Icecream - Dstk Super Cone;contextually-based;Harwell Simonato;11/29/2020
10096-0168;Wine - Cabernet Sauvignon;Reverse-engineered;Guillema Castagneto;1/5/2021
0527-1349;Lid - 0090 Clear;6th generation;Eward Ottewell;4/16/2020
64942-1321;Fennel;discrete;Chris Dirand;5/28/2020
0009-0728;Sugar - Splenda Sweetener;hybrid;Saunders Sutherel;8/1/2020
49999-094;Jagermeister;Open-source;Hunt Webburn;11/27/2020
10631-115;Cheese - Gouda;Secured;Hayward Jay;11/6/2020
0781-3178;Yogurt - French Vanilla;background;Rudolf Olivia;7/20/2020
0179-0154;Chicken - Wieners;system engine;Parrnell Gillibrand;9/7/2020
35356-355;Pasta - Agnolotti - Butternut;stable;Kristofor Jozwiak;3/18/2021
66184-142;Cream - 35%;Right-sized;Merwyn Giacomuzzo;6/26/2020
50474-801;Coffee Decaf Colombian;extranet;Easter Teggin;6/27/2020
62007-011;Wine - Fat Bastard Merlot;systematic;Bearnard Edwardes;10/4/2020
59779-846;Tea - Herbal Orange Spice;scalable;Myrilla Gladwish;1/7/2021
67457-436;Beef - Rib Roast, Capless;solution-oriented;Salli Gooderham;1/23/2021
59779-889;Vinegar - Tarragon;protocol;Georgeanna Aingel;7/12/2020
0338-6304;Plasticforkblack;Mandatory;Damiano Plastow;8/5/2020
41520-630;Pasta - Agnolotti - Butternut;neural-net;Fancie Sandifer;8/28/2020
60913-007;Pepper - Chillies, Crushed;frame;Berne Aleksandrov;4/21/2020
62296-0051;Soup - Knorr, Country Bean;Team-oriented;Corrianne Gyer;7/18/2020
67457-572;Soup - Campbells;Pre-emptive;Isac Ahrenius;8/29/2020
63162-518;Momiji Oroshi Chili Sauce;Front-line;Armando Merill;8/4/2020
46123-005;Lettuce - Sea / Sea Asparagus;zero administration;Kim Proschke;9/10/2020
36987-1968;Taro Root;static;Darnell Backson;3/7/2021
43419-010;Scallops - In Shell;asynchronous;Isabeau Gavini;3/8/2021
55289-464;Pate - Peppercorn;multi-tasking;Binni Krollman;9/18/2020
53489-177;Tortillas - Flour, 8;Cross-platform;Viola Roos;5/14/2020
21695-423;Beans - Turtle, Black, Dry;Compatible;Derwin Stares;9/25/2020
52904-455;Steel Wool;circuit;Jedediah Cadamy;10/3/2020
62064-011;Apples - Sliced / Wedge;Cross-platform;Manya Itscowics;1/22/2021
55118-480;Cheese - Brie, Cups 125g;Phased;Carie Buxam;2/8/2021
68915-280;Lamb - Racks, Frenched;hierarchy;Stavro Barkly;12/11/2020
63323-276;Lamb - Racks, Frenched;client-server;Filia Strodder;2/16/2021
50051-0013;Garlic;Configurable;Simon Cardenas;7/28/2020
59779-213;Quail Eggs - Canned;exuding;Melesa Leyninye;9/18/2020
76414-010;Mcgillicuddy Vanilla Schnap;full-range;Merilee Ballay;4/5/2020
57520-0725;Milk 2% 500 Ml;well-modulated;Putnem Vowles;12/11/2020
51346-051;Cheese - Goat With Herbs;Synchronised;Aguistin Brimilcombe;10/8/2020
30805-006;Ecolab - Hobart Upr Prewash Arm;mobile;Helaine Storrar;5/23/2020
0268-0069;Whmis - Spray Bottle Trigger;Automated;Nelie Del Monte;11/20/2020
66993-210;Juice - Lime;Exclusive;Vinson Janoschek;3/11/2021
16110-035;Nantucket - Pomegranate Pear;Compatible;Harold Ivanuschka;1/3/2021
64679-554;Wine - White, Lindemans Bin 95;6th generation;Fayina Kimmings;7/4/2020
54340-986;Shrimp - Prawn;Organic;Eolanda Thompsett;9/24/2020
51621-044;Olives - Nicoise;forecast;Arlina Hurdwell;1/22/2021
68016-693;Otomegusa Dashi Konbu;motivating;Abbye Heel;12/22/2020
57237-062;Milkettes - 2%;Assimilated;Ambros Coatts;3/26/2021
50458-515;Veal - Insides, Grains;intangible;Jemima Rate;7/12/2020
68382-178;Wine - Red, Black Opal Shiraz;structure;Dorelle Christoforou;10/26/2020
0115-5213;Wine - Two Oceans Sauvignon;24 hour;Almeria Mc Elory;3/29/2020
43419-863;Soda Water - Club Soda, 355 Ml;attitude;Jeane Varrow;9/22/2020
0268-6657;Sprouts - Pea;groupware;Charmane Ketcher;5/25/2020
26050-101;Radish - Pickled;holistic;Nichole Galtone;4/14/2020
68788-9137;Walkers Special Old Whiskey;real-time;Gar Oylett;12/22/2020
0409-0187;Vinegar - Balsamic;matrix;Elbertina Vondrach;2/22/2021
51346-028;Cookies - Assorted;context-sensitive;Averill Creek;12/27/2020
0264-2205;Ginsing - Fresh;object-oriented;Isabelita Legen;5/27/2020
68639-0001;Pears - Anjou;multimedia;Kyrstin Slight;10/29/2020
67457-450;Carbonated Water - Blackberry;Cloned;Reilly Wornham;4/17/2020
0409-7881;Ice Cream Bar - Oreo Cone;Seamless;Carina Ahern;12/6/2020
36987-1816;Ocean Spray - Kiwi Strawberry;Focused;Charis Ponten;5/8/2020
48871-002;Vodka - Hot, Lnferno;strategy;Gabriel Uzielli;4/3/2020
47066-403;Wine - Chablis 2003 Champs;multi-state;Philly Retchless;11/19/2020
43538-230;Soup Knorr Chili With Beans;methodology;Darrell Gehrts;1/11/2021
43857-0274;Lettuce Romaine Chopped;archive;Gwenny Ashley;11/1/2020
55289-626;Oil - Shortening - All - Purpose;explicit;Willyt Milella;7/14/2020
51668-507;Noodles - Steamed Chow Mein;regional;Georgia Sterricker;6/23/2020
60429-788;Beef - Flank Steak;5th generation;Dniren Ruit;1/17/2021
62362-149;Beans - French;parallelism;Kirsten Woollard;8/21/2020
67253-462;Crackers - Soda / Saltins;fresh-thinking;Paula Gill;9/22/2020
0268-1307;Bread - Bagels, Mini;Business-focused;Zuzana Polack;2/11/2021
64205-218;Wine - Red, Cooking;Seamless;Trevor Ekless;10/30/2020
43419-354;Beans - Fava, Canned;Re-engineered;Keene Bidgod;4/2/2020
0378-7017;Coffee - Cafe Moreno;Cross-group;Junette Kegg;12/21/2020
52904-455;Olives - Black, Pitted;core;Alyson Polkinhorn;12/3/2020
63029-500;Juice - Grape, White;Down-sized;Willi Bremeyer;2/18/2021
17478-705;Beef - Ox Tongue;parallelism;Peyton Aujean;10/23/2020
43742-0473;Sauce - Hollandaise;asynchronous;Courtnay Alabone;10/1/2020
64117-272;Beef - Inside Round;directional;Gun Dunstan;10/13/2020
33342-121;Squash - Sunburst;bifurcated;Lucine Chiverton;1/20/2021
0517-7630;Butter - Salted;disintermediate;Elisabet MacElroy;10/8/2020
52959-033;Flour - Strong;Decentralized;Miguelita Fipp;7/31/2020
43063-239;Juice - Lagoon Mango;web-enabled;Freida Vokins;2/6/2021
66689-038;Pasta - Cappellini, Dry;4th generation;Filia Allsupp;12/20/2020
49999-063;Tart Shells - Barquettes, Savory;archive;Urban Bullimore;5/2/2020
52125-431;Wine - Redchard Merritt;Seamless;Kitty Skilbeck;5/24/2020
60760-240;Ice Cream - Chocolate;middleware;Misha Denman;7/9/2020
50390-705;Soup - Beef Conomme, Dry;zero tolerance;Royce Trusse;9/6/2020
49035-660;Black Currants;focus group;Caprice Milley;6/6/2020
64725-0136;Melon - Watermelon, Seedless;Organic;Anallese Mudd;11/10/2020
50436-3145;Mushroom - Lg - Cello;Enterprise-wide;Shaw Hoyer;8/29/2020
10565-073;Cheese - Augre Des Champs;Operative;Carroll Oxborough;10/29/2020
65162-672;Wine - Riesling Dr. Pauly;reciprocal;Kristyn Fusedale;5/10/2020
0009-0020;Sauce - Balsamic Viniagrette;productivity;Sande Markwelley;7/6/2020
60505-3160;Pineapple - Regular;challenge;Felita Sibary;11/30/2020
16714-399;Papadam;background;Cathleen Cannan;2/11/2021
55289-403;Sauerkraut;bi-directional;Cassandre Woolbrook;2/17/2021
48951-4056;Bacardi Raspberry;web-enabled;Thedrick McVicker;5/18/2020
42254-335;Crab - Claws, Snow 16 - 24;Managed;Granthem Huyge;2/20/2021
53401-300;Cheese - Goat With Herbs;Integrated;Igor Rugge;1/20/2021
41163-412;Napkin - Beverage 1 Ply;contingency;Hilario Hudghton;9/17/2020
54868-1867;Truffle Shells - Semi - Sweet;Versatile;Garth Veysey;12/28/2020
25021-652;Juice - Orangina;zero tolerance;Dotty Signori;12/9/2020
21130-490;Waffle Stix;Multi-layered;Rosemary Foxwell;6/30/2020
64679-928;Fennel - Seeds;Implemented;Sarette Ebsworth;4/8/2020
0781-5951;Energy Drink - Redbull 355ml;contingency;Blondell Castree;5/26/2020
0002-1407;Beans - Soya Bean;content-based;Olia Isakson;4/11/2020
54868-5209;Milk 2% 500 Ml;Profit-focused;Noelyn Cantrell;9/1/2020
0093-7336;Tart Shells - Barquettes, Savory;mission-critical;Constantine Wannop;11/17/2020
63824-350;Mini - Vol Au Vents;regional;Madlin Worts;11/23/2020
43063-437;Cake - Cheese Cake 9 Inch;national;Fransisco Baptie;6/25/2020
64990-601;Cheese - Montery Jack;service-desk;Bev Towne;6/3/2020
49580-4406;Steam Pan - Half Size Deep;parallelism;Gena Shattock;3/6/2021
55648-906;English Muffin;pricing structure;Gunter McKennan;7/30/2020
35356-477;Ice Cream - Life Savers;didactic;Wittie Eidelman;12/21/2020
13533-661;Sauce Tomato Pouch;Compatible;Chrysler Orth;12/14/2020
0069-3220;Split Peas - Green, Dry;high-level;Kathrine Bamlet;6/15/2020
49288-0823;Shrimp - Baby, Cold Water;cohesive;Fulvia McSaul;11/29/2020
43269-748;Plaintain;fresh-thinking;Idell Johansen;9/18/2020
37205-477;Coffee Decaf Colombian;User-friendly;Lucita Weeds;7/23/2020
65044-2630;Bread - Crumbs, Bulk;Visionary;Kassi Sheivels;4/5/2020
52473-001;Cilantro / Coriander - Fresh;exuding;Marshall De Freitas;3/18/2021
0264-7703;Filo Dough;Optimized;Pierrette Gabriely;2/8/2021
36987-2196;Red Pepper Paste;Triple-buffered;Grantham Hordell;4/18/2020
54859-801;Potatoes - Pei 10 Oz;collaboration;Jaymie Scorey;8/12/2020
54092-257;Soup - Campbells, Classic Chix;process improvement;Kynthia Hoggin;3/16/2021
68987-004;Oil - Pumpkinseed;Operative;Anselm Cruden;7/7/2020
0009-4544;Wine La Vielle Ferme Cote Du;protocol;Innis Cloney;8/17/2020
0409-1752;Soup - Clam Chowder, Dry Mix;Proactive;Bernardine Simionato;4/1/2020
36987-3141;Chocolate - Dark;orchestration;Blanca Haward;7/28/2020
75830-001;Basil - Pesto Sauce;Programmable;Charyl Jobern;5/24/2020
68682-705;Wine - Mondavi Coastal Private;policy;Kleon Leggis;4/8/2020
49507-001;Sprouts - Brussel;client-server;Roxane Norcop;12/31/2020
60505-0687;Halibut - Whole, Fresh;radical;Saunder Queree;2/28/2021
68828-096;Veal - Insides Provini;conglomeration;Perri Dorian;7/15/2020
49035-987;Lamb - Loin, Trimmed, Boneless;extranet;Easter Fewell;3/27/2021
42507-002;Spice - Onion Powder Granulated;Distributed;Thayne Freckelton;11/30/2020
36987-2532;Lettuce - Arugula;content-based;Dorice Davenport;8/23/2020
54868-5167;Champagne - Brights, Dry;Advanced;Gaile Raithbie;5/18/2020
46994-500;Squeeze Bottle;open architecture;Teresita Yellep;10/16/2020
13537-107;Rabbit - Frozen;attitude-oriented;Sancho Finder;1/15/2021
0781-1071;Spic And Span All Purpose;client-driven;Bennie Reide;5/24/2020
60681-9011;Rosemary - Primerba, Paste;solution;Bonita Dytham;1/30/2021
21695-283;Veal - Insides Provini;grid-enabled;Filmer Tyson;6/2/2020
65342-2090;Carbonated Water - Cherry;approach;Mable Zanassi;7/3/2020
13668-015;Cinnamon Buns Sticky;hierarchy;Mandy Luigi;2/12/2021
76058-105;Icecream - Dibs;definition;Harrison Fey;9/10/2020
53489-329;Coconut - Creamed, Pure;Self-enabling;Cristy McGrann;10/12/2020
54973-0605;Bread - White Epi Baguette;model;Lanni Ailmer;8/21/2020
55648-904;V8 Splash Strawberry Banana;initiative;Shalna Pendrid;5/29/2020
0363-0414;Basil - Thai;Adaptive;Erik Arnauduc;4/13/2020
61957-1020;Wine - Cabernet Sauvignon;multimedia;Deni Tugman;3/13/2021
51143-693;Lid Coffeecup 12oz D9542b;approach;Heddi Eaddy;12/10/2020
16590-897;Pears - Fiorelle;instruction set;Gino Latey;7/18/2020
64893-001;Wine - Balbach Riverside;Object-based;Charisse Cankett;9/16/2020
54868-4961;Bread Ww Cluster;cohesive;Bevin Jarrold;5/6/2020
0378-0018;Beer - Paulaner Hefeweisse;encryption;Lazare Lorraway;9/1/2020
15127-877;Pastry - Cheese Baked Scones;Sharable;Veronika Behnen;10/24/2020
65465-0001;Smoked Paprika;Robust;Melisa Coslett;9/16/2020
42851-070;Bagel - Plain;process improvement;Melly Barritt;1/14/2021
68151-4487;Ice Cream Bar - Hageen Daz To;flexibility;Reade Babb;5/8/2020
21695-615;Coconut - Creamed, Pure;Devolved;Susie Cahalan;12/4/2020
10237-816;Bread - Bagels, Mini;focus group;Patrizio Luckcock;6/15/2020
13630-0046;Grapefruit - White;value-added;Keenan Lafont;6/19/2020
53746-114;Tart - Butter Plain Squares;Multi-lateral;Kimble Tarry;11/1/2020
54868-1973;Wakami Seaweed;Face to face;Crysta McKerrow;1/10/2021
60505-7002;Wine - Red, Cabernet Merlot;Grass-roots;Royce Eslinger;7/17/2020
36987-2423;Soap - Mr.clean Floor Soap;complexity;Jessee Dikles;8/27/2020
59779-557;Cheese - Cottage Cheese;asymmetric;Sergeant Puttnam;4/26/2020
49348-121;Cookie - Oreo 100x2;asymmetric;Petrina Bassil;2/14/2021
55714-2215;True - Vue Containers;Configurable;Bernice Luckin;11/8/2020
52904-468;Walkers Special Old Whiskey;Cross-group;Pierrette Coulthart;3/28/2021
24385-193;Garam Masala Powder;definition;Krisha Gottschalk;10/22/2020
0268-0002;Beer - Sleemans Cream Ale;foreground;Rupert Shorten;10/16/2020
0378-0541;Fond - Neutral;multi-tasking;Samantha Gerwood;1/7/2021
60232-6500;Veal - Tenderloin, Untrimmed;adapter;Florence Dudgeon;3/27/2021
63739-510;Bread Base - Gold Formel;Stand-alone;Blanch Piser;5/18/2020
55312-205;Bagelers - Cinn / Brown;intranet;Rollins Bolstridge;10/6/2020
65841-022;Pepper - White, Whole;Cloned;Helyn Bromidge;1/15/2021
51672-3009;Coconut - Creamed, Pure;methodology;Marget Calabry;2/8/2021
16714-354;Wooden Mop Handle;encompassing;Bryon Scanderet;1/9/2021
36987-1201;Venison - Ground;Operative;Isabelita Ashfold;8/30/2020
0641-6046;Bread - Rye;content-based;Casandra Stowell;5/11/2020
68094-593;Towel - Roll White;contingency;Holmes Iacovone;12/16/2020
43353-735;Squid - U - 10 Thailand;Down-sized;Nikki Lantuffe;1/24/2021
65841-721;Carrots - Mini, Stem On;systematic;Liza Turner;5/20/2020
54868-5680;Clam - Cherrystone;Mandatory;Bette Bourthoumieux;12/21/2020
61727-335;Wine - Ej Gallo Sierra Valley;local;Andre Sawyer;5/24/2020
37000-090;Pork - Ham, Virginia;logistical;Cathryn Haddington;3/16/2021
54575-216;Nut - Walnut, Pieces;regional;Jeralee Crossgrove;9/15/2020
24385-540;Sansho Powder;context-sensitive;Hadley Berkery;7/25/2020
59734-276;Table Cloth 54x72 Colour;array;Kendell Toe;5/11/2020
54868-2679;Table Cloth 90x90 Colour;human-resource;Bernardine Gaggen;6/28/2020
42961-010;Rum - Coconut, Malibu;tertiary;Chaim Lamar;12/26/2020
54569-6326;Soup - Cream Of Broccoli;workforce;Patrice Hazeldene;10/4/2020
0093-5141;Appetizer - Assorted Box;forecast;Haley Freddi;9/3/2020
49288-0443;Beef - Top Sirloin;Programmable;Darby Allchorn;10/30/2020
33261-393;Sandwich Wrap;upward-trending;Tades Bradwell;7/1/2020
0023-3348;Salt - Seasoned;synergy;Renae Ivushkin;3/4/2021
53603-1005;Sweet Pea Sprouts;contextually-based;Hurlee Janc;4/17/2020
60512-8030;Lamb Rack - Ontario;incremental;Lydia Baillie;4/15/2020
61543-7237;Pear - Halves;5th generation;La verne Rosendale;9/18/2020
55910-371;Pork - Loin, Bone - In;Automated;Gerri Calvard;8/9/2020
41250-528;Pork - Kidney;Implemented;Fergus Load;12/2/2020
68308-225;Clams - Canned;actuating;Currie Van de Castele;8/25/2020
42192-147;Cleaner - Bleach;structure;Diannne Marcum;6/1/2020
49349-574;Pasta - Penne Primavera, Single;conglomeration;Meghann Mill;4/15/2020
68016-490;Pork - Tenderloin, Frozen;Total;Adoree Lutman;7/1/2020
0378-3349;Vinegar - Red Wine;migration;Ellynn Hatton;10/23/2020
54868-5356;Mushroom - Porcini, Dry;Optimized;Zonnya Kersaw;10/9/2020
56062-396;Chocolate Liqueur - Godet White;encryption;Clari Haylock;9/19/2020
0187-0797;Bread - French Baquette;Reactive;Patten Noddle;3/23/2021
62670-4321;Bread - Ciabatta Buns;interactive;Norbert Oldfield-Cherry;2/10/2021
34057-014;Vector Energy Bar;initiative;Fancy Fairfoull;3/12/2021
49483-352;Wine - Sawmill Creek Autumn;Intuitive;Ardra Tofanelli;12/28/2020
36987-2582;Tomato Puree;application;Urbanus Swainger;6/28/2020
57955-0076;Cod - Black Whole Fillet;Right-sized;Russ Fisbey;4/12/2020
37000-182;Cheese - Oka;orchestration;Darryl Hanalan;1/13/2021
24794-101;Coffee - Almond Amaretto;methodology;Delphine Royan;6/15/2020
0168-0041;Bread Bowl Plain;context-sensitive;Alexander Stimpson;9/10/2020
54868-2077;Longos - Chicken Curried;Centralized;Jud Trevascus;1/14/2021
